Time,yaw_world,delta_position_x_world,delta_position_y_world,delta_yaw,Theta_calculated,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
2.551,-2.3743918465885305,-0.0051009981391071,-0.0049005609630087,0.0019660964300691,-2.334462923513287,0.2068707563455462,-0.1430665377313461,-0.1494238120666972,0.0587972168457974,-0.1527225022910931,2.727782060379905,-0.0047591770593012,-0.0049805352578226,0.001957947320965,0.2082713443309639,-0.1501128776958429,-0.1443713157774071,-2.3756890324855418
2.585,-2.372712831129557,-0.0050530857375186,-0.0048863595287979,0.0016790154589734,-2.3325049761923218,0.2065769599516508,-0.1425709335342274,-0.1494910341593932,0.0605170531066208,-0.0088227145313917,0.0516467345592635,-0.0047425285003829,-0.0049828931404013,0.0020152178684504,0.2067156628348856,-0.1487511399646292,-0.1435425498606228,-2.374012318885028
2.619,-2.3702888815070327,-0.0051112454319235,-0.0049606751644337,0.0024239496225244,-2.3304897583238717,0.2245060528859249,-0.1546171392135982,-0.1627774801494988,0.0056160484098737,0.5384111992274491,-1.6486788197221345,-0.0051481737387604,-0.0054210380866498,0.0001870144120487,0.2081846513616885,-0.1495364485285389,-0.1448437075749561,-2.3721342314179745
2.653,-2.368745171439126,-0.0052566759413801,-0.0051212157506656,0.0015437100679065,-2.3303027439118225,0.217801791519463,-0.1499703844698618,-0.1579446237484817,0.0031076415318863,-0.2013291701640195,-0.0753275338734961,-0.0049936736249271,-0.0052598789485884,0.0001034844630118,0.2140717698262404,-0.1534024767964875,-0.1493131030728447,-2.3697026320368533
2.6870000000000003,-2.369255177779517,-0.0053444335266515,-0.0052126093581666,-0.0005100063403911,-2.3301992594488103,0.2174892420036933,-0.1497388520904992,-0.157733466841887,0.0050246489697479,-0.0093858713444354,0.0575677909267737,-0.0049857963840776,-0.0052530060613794,0.0001673208106926,0.2195356518584917,-0.1571643457715721,-0.1532816716216475,-2.368700599177393
2.721,-2.3699903988788376,-0.0053535597666252,-0.0052128873036248,-0.0007352210993203,-2.3300319386381183,0.2240776562965734,-0.1542477061221126,-0.1625375070789252,-0.021768034236085,0.1978502790654666,-0.8045850812562447,-0.0051383398795275,-0.0054107033256199,-0.0007248755400616,0.2197238154737959,-0.1574071519727543,-0.1533021317340008,-2.369405493641528
2.755,-2.3707407901762503,-0.0053618630467243,-0.0052134388795462,-0.0007503912974127,-2.33075681417818,0.2176104615140362,-0.149910281100335,-0.1577378222899326,-0.0214933463356033,-0.1942100535296451,0.0082488859003493,-0.00499382376449,-0.0052509471589627,-0.0007157284329755,0.2198952115034201,-0.1576397664654293,-0.1533088649454387,-2.3701216185492724
2.789,-2.3712383947656948,-0.005368409751209,-0.0052128469010408,-0.0004976045894444,-2.331472542611155,0.2177874729102603,-0.1501451738183595,-0.1577587085890728,-0.0219130007970536,0.0053156575442685,-0.0126022360795872,-0.0050016826214447,-0.0052516050223626,-0.0007297029265418,0.2200855184749116,-0.157888309753116,-0.1533261787356443,-2.3708525618539245
2.823,-2.3716970512214863,-0.0053750796521876,-0.0052145053726434,-0.0004586564557915,-2.3322022455376974,0.2245813360730891,-0.1549476075837235,-0.162566956717699,-0.0135192034848149,0.2040199147996625,0.2520659853525132,-0.0051609037037745,-0.0054123847907007,-0.0004501894760443,0.2201967165313526,-0.1580374405588555,-0.1533321928128436,-2.3713047936182137
2.857,-2.372172344822819,-0.0053822533338541,-0.0052163941962753,-0.0004752936013328,-2.3326524350137414,0.2181563803436847,-0.1505858516874531,-0.1578483688741281,-0.0133669365105764,-0.1929416134956262,0.0045725818089646,-0.0050156105777261,-0.0052552993528639,-0.0004451189858021,0.220386153377893,-0.1582420322095609,-0.153393337022481,-2.3717521080610675
2.891,-2.371420658747199,-0.0053788305336897,-0.0052126522397276,0.00075168607562,-2.3330975539995435,0.2183333749061259,-0.1507783283288664,-0.1579093357096137,-0.0138236386308813,0.0053151520252618,-0.0137147783875335,-0.0050220604494482,-0.0052572900137704,-0.0004603271664083,0.2205695802945174,-0.1584447950529728,-0.1534476675349644,-2.3722150761010083
2.925,-2.370519044261079,-0.0053771047664072,-0.0052195965916914,0.00090161448612,-2.333557881165952,0.2251375046470625,-0.1555521149609094,-0.1627588262733978,0.0267187839935749,0.2043282204485451,1.217490168902589,-0.0051774034923283,-0.0054222395256711,0.000889735506986,0.2203679939814668,-0.1581658365085214,-0.1534458240975474,-2.3713404300889875
2.959,-2.369632274588533,-0.0053758873078572,-0.0052250771941614,0.0008867696725456,-2.3317831115428884,0.218528882546126,-0.1507054645777026,-0.158248966673648,0.0259720587172435,-0.001338025411364,-0.0181844554405665,-0.0050161443638358,-0.0052719249799713,0.0008648695552842,0.2204403918270047,-0.1579513783539363,-0.1537703756415227,-2.3696062972532275
2.9930000000000003,-2.3701185272303635,-0.005374008656568,-0.0052265999384276,-0.0004862526418301,-2.330918241987604,0.2249932991845118,-0.1550225899877016,-0.1630643470272893,-0.0151826988485405,0.1941266257773526,-1.2358786055791011,-0.0051635544850539,-0.0054288043318639,-0.0005055838716564,0.2202286063041313,-0.1578804952815181,-0.1535395331643372,-2.3701328390455427
3.027,-2.370833593621481,-0.0053611633972038,-0.0052058569921074,-0.0007150663911175,-2.331423825859261,0.2181105910502512,-0.1503602380855241,-0.1580000909213486,-0.0151796238796844,-0.2066879319597791,9.234140709061084e-05,-0.0050082574538658,-0.0052602021061679,-0.0005054814751934,0.2188303623525186,-0.1569849749203775,-0.1524547314339015,-2.370833593621481
3.061,-2.371593479324948,-0.0053154340730888,-0.0051615977707052,-0.0007598857034665,-2.3319293073344536,0.2177711429227444,-0.1502059532840655,-0.1576782873064758,-0.0154066360768729,-0.0101936374626667,-0.0068171830987535,-0.0050031370405161,-0.0052494683659979,-0.0005130409813598,0.2178553033908973,-0.1563993685025854,-0.1516580718179298,-2.3715842251651886
