Theta_calculated,yaw_world,linear_velocity_x,world_velocity_x,world_velocity_y,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,delta_position_x_world,delta_position_y_world,delta_yaw,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw,twist.twist.linear.x,Time,odom_world_velocity_x,odom_world_velocity_y,odom_yaw_world
-1.6124593470279764,-1.6016534532787987,0.225135972407118,-0.0093771312087196,-0.2249406043425532,-0.0497406826950312,0.203525854415871,-0.0308402401863897,-0.0002248051088329,-0.0075098410195489,-0.0016618151501874,-0.0003184091268101,-0.0074902623337667,-0.0016563647337445,0.2210481028971847,1.995,-0.006798248560802,-0.2209435394188975,-1.6015557886990788
-1.614115711761721,-1.6032965360220377,0.2186206915419681,-0.009467552164216,-0.2184155951993955,-0.0479555518136032,-0.1956540800345317,0.0536075339768156,-0.000237982257721,-0.0075131527137131,-0.0016430827432387,-0.0003210255546596,-0.0072729867583893,-0.0015969198753929,0.2211175139807168,2.029,-0.0071549014705637,-0.2210017248212308,-1.6031598899606467
-1.615712631637114,-1.6047063159440105,0.2186065382184474,-0.0098156966479301,-0.2183860587381194,-0.0412689971773614,-0.0004250247303504,0.2007974365237788,-0.0002499967530359,-0.0075093845472574,-0.0014097799219727,-0.0003318083904306,-0.0072720312056486,-0.0013742576060061,0.2209477172108437,2.063,-0.0074545418690385,-0.2208219272314362,-1.604541671435428
-1.61708688924312,-1.606097778737164,0.225027196557531,-0.0104129157375229,-0.2247861436485465,-0.0411038995200348,0.1928125627352421,0.0049578876074049,-0.0002608170128282,-0.0075021528368569,-0.0013914627931537,-0.0003518201472959,-0.0074851414137168,-0.0013687598540171,0.220712556029797,2.097,-0.0077534831344352,-0.2205763266728556,-1.6059328812483642
-1.6184556490971371,-1.607529315500196,0.2180953757996065,-0.0103903433085692,-0.2178477305622018,-0.0390486371968628,-0.2081627855232592,0.0617195892844445,-0.0002680974123835,-0.0074866262214629,-0.0014315367630319,-0.0003506637529431,-0.0072541048973282,-0.0013003196186555,0.2200310790975506,2.131,-0.0080354632954833,-0.2198843038928871,-1.6073241233810684
-1.6197559687157927,-1.6091942249457751,0.2178422230005698,-0.0106612168031364,-0.2175811861768074,-0.0307689890731125,-0.0076021861572558,0.2486380817943029,-0.0002705652291218,-0.0074231759013048,-0.0016649094455791,-0.0003586793371659,-0.007245272879247,-0.0010246073361346,0.2177923187713197,2.165,-0.0082800400391965,-0.2176348663535727,-1.6088235446872785
-1.6207805760519274,-1.6110920490355352,0.2242229178701145,-0.011202947901336,-0.2239428740918275,-0.0324605628120491,0.1916124585448852,-0.0507980101782765,-0.0002906192029456,-0.0073991817863537,-0.00189782408976,-0.0003770360424523,-0.0074570972826955,-0.0010809367416412,0.2181558915358953,2.199,-0.0087233859424126,-0.2179814110182816,-1.6107939279250938
-1.6218615127935687,-1.6123340879420995,0.2174684520896867,-0.0111002412234353,-0.2171849725442945,-0.0329324152458677,-0.2028368102230568,-0.0141697427573155,-0.0003047180266128,-0.0074567083103813,-0.0012420389065643,-0.0003735526855876,-0.0072320580836918,-0.0010966494276873,0.2196296380514242,2.233,-0.0090656905304463,-0.2194424552492196,-1.6120852300056452
-1.622958162221256,-1.6135329716831863,0.2175329488149652,-0.011341773018904,-0.2172370778778843,-0.0336564791994209,0.0019368385969519,-0.0217436622688635,-0.0003136684940824,-0.0074662388263128,-0.001198883741087,-0.0003816838392396,-0.0072337842203444,-0.0011207607573407,0.2198278799960965,2.267,-0.009330494676342,-0.219629776425404,-1.6132536279008023
-1.6240789229785968,-1.614722161760832,0.2242276096165236,-0.0119417767838166,-0.2239093898915041,-0.035461006651231,0.2010408649116618,-0.0541900135678709,-0.0003226723550395,-0.007472467211485,-0.0011891900776455,-0.000402010921224,-0.0074559489907316,-0.0011808515214859,0.2200260076002342,2.301,-0.0095999959213947,-0.2198164782240119,-1.614441369150883
-1.6252597745000827,-1.6163312943803665,0.2177958739450045,-0.0118560507929911,-0.2174729334125567,-0.0347978310144357,-0.1931452153609334,0.0199151842881454,-0.0003318935225755,-0.0074589535969885,-0.0016091326195344,-0.0003989512463786,-0.0072416211254924,-0.0011587677727807,0.2202064152283358,2.335,-0.0098632073571356,-0.2199854141718137,-1.6156020526955377
-1.6264185422728636,-1.6224587657896017,0.2066288139293683,-0.011487227017427,-0.2063092590295152,-0.190218165682525,-0.3353471476167033,-4.667277317360037,-0.000345392087676,-0.0071688703753355,-0.0061274714092351,-0.00040423219731,-0.0068688437273309,-0.006334264917228,0.2101670830393557,2.369,-0.0104492222929942,-0.2099071617328552,-1.620535476802833
-1.6327528071900916,-1.6290039487170085,0.2129240989664685,-0.0131835895513517,-0.2125155638705645,-0.1964274085204192,0.18904759871172,-0.1864637488857117,-0.0003903593861157,-0.0071410637301028,-0.0065451829274065,-0.0004621052094113,-0.0070752852702773,-0.0065410327037299,0.2103890797670269,2.403,-0.0118348048750081,-0.2100559503532021,-1.6270780275597243
-1.6392938398938215,-1.6347359728022646,0.2068339190367086,-0.0141565328211438,-0.2063488857313448,-0.1909839024833302,-0.1828882861789762,0.1634686497624319,-0.0004348795178961,-0.0071408881284372,-0.0057320240852563,-0.000493211239092,-0.0068698760142378,-0.0063597639526948,0.2105532669905972,2.437,-0.0131815646231044,-0.2101402498202108,-1.633441710928658
-1.6433447753780728,-1.6364901594091157,0.2133854092021995,-0.0154672040209703,-0.2128241021598912,-0.0645523507570895,-0.1356687922209033,-4.02061678674608,-0.0004598377232954,-0.0071209498104884,-0.0019673568927793,-0.0005226247490824,-0.007086487240152,-0.002149593280211,0.2095783040531616,2.505,-0.013604253292131,-0.2091362948465975,-1.635754507483564
-1.6454943686582837,-1.6380271158562223,0.2071171676386214,-0.0154568631350792,-0.2065396003498318,-0.0601490674052673,-0.1882354823897304,0.1322307312859506,-0.0004746319062784,-0.0071128442033105,-0.001536956447107,-0.000521552755088,-0.0068772522875764,-0.0020029639445954,0.209536796344481,2.539,-0.0140203982298715,-0.209067207987729,-1.637757745866471
-1.6474973326028792,-1.6379298822080826,0.2070327545206702,-0.0158640550011358,-0.2064240615900603,-0.002234255767214,-0.0025349284670057,1.7391835326742733,-0.0004752240897684,-0.0070755360909481,9.72336481399605e-05,-0.0005284803647395,-0.006873905312275,-7.440071704822859e-05,0.2084269309026907,2.573,-0.0139875977183359,-0.2079570451693931,-1.6379571228567888
-1.6475717333199271,-1.637802515701709,0.2129974085394501,-0.0163369020412307,-0.212369964157403,0.0002180860674422,0.1791187393027007,0.0736438989386279,-0.0004722764048035,-0.0070612080528477,0.0001273665063732,-0.0005439433865011,-0.0070719256102674,7.2622660458265825e-06,0.2081352291471828,2.607,-0.0139574332353105,-0.2076667129552354,-1.6379061358531404
