Time,delta_position_x,delta_position_y,delta_yaw
171.016,-0.002997899242961899,-0.004302831143755181,-0.011482876674511642
171.05,-0.0031527284035183234,-0.004435170167772284,-0.007908924480529489
171.084,-0.003239312685257123,-0.004479100564890537,-0.008872502446851447
171.118,-0.0032533169553057295,-0.004404608402850396,-0.012280205628845573
171.152,-0.002959066641260444,-0.0038893185728381408,-0.01588698346529771
171.186,-0.0027002868139772707,-0.0034287318205437067,-0.018122552922739562
171.22,-0.002900973536269169,-0.003540562197024588,-0.01988470827925725
171.254,-0.0033933187901622475,-0.003964428144374033,-0.02372871472860582
171.288,-0.003897993731581173,-0.004320374923461046,-0.02883029574001039
171.322,-0.004315229962802758,-0.004497739317582017,-0.03311035975311504
171.356,-0.004794498825758331,-0.004644715602101446,-0.040518895343214734
171.39,-0.00505799348696212,-0.004502606641330287,-0.04337561119501965
171.424,-0.0051477684263331325,-0.0042098934049674686,-0.04058049352021608
171.458,-0.0052253036551532794,-0.00394851710549049,-0.03592571885146922
171.492,-0.005437988750304545,-0.003822661994632659,-0.03244365709544627
171.526,-0.005790339307751857,-0.0037999942871078662,-0.03008981145706224
171.56,-0.006296448846726532,-0.0038700051014370906,-0.028954911013660205
171.594,-0.006701591221445091,-0.00385772665048445,-0.028858205812246848
171.628,-0.006491693288164679,-0.003512128584694185,-0.022861026866661575
171.662,-0.006403031990148023,-0.0032884752797057715,-0.020807242051683158
171.696,-0.006485480932481802,-0.003161814648535266,-0.020810237762109992
171.73,-0.00689256754009715,-0.003187587512324841,-0.019466911062236743
171.764,-0.007005335084906972,-0.0030800460971551757,-0.018872377605830156
171.798,-0.007042942728566093,-0.0029394734118095567,-0.018996115351836092
171.832,-0.00683516077671098,-0.0026997696616259947,-0.01911505854773265
171.866,-0.006762039212343085,-0.002527650420154348,-0.017673960981412492
171.9,-0.0067852242000985274,-0.002402197381193183,-0.01705761687757823
171.934,-0.006939672294711707,-0.002334886419276927,-0.013898032014961531
171.968,-0.00710065104535762,-0.0022884122112807326,-0.012042438031717671
172.002,-0.0071373713701268215,-0.002208102519110744,-0.011448003577913644
172.036,-0.007157434049418598,-0.0021275778538569767,-0.010588684272686775
172.07,-0.0072616059309994485,-0.002079537594746661,-0.009388050621707219
172.104,-0.007288744151526694,-0.002014312390715922,-0.009231866361930406
172.138,-0.007307375273409078,-0.0019474174153741863,-0.009161159655005413
172.172,-0.007326145506590054,-0.0018806956489707538,-0.009165677267285231
172.206,-0.0073425798647871465,-0.001813499499800475,-0.009049979825455079
172.24,-0.0073562131205439085,-0.001747148983691993,-0.008901377518396812
172.274,-0.007363471273591049,-0.0016806522776799948,-0.008805275133934918
172.308,-0.0073510853851628255,-0.0016115970788086464,-0.00811679665655962
172.342,-0.007388435902314194,-0.0015574828774505,-0.008038150847096581
172.376,-0.007400647186207698,-0.0014980456343627324,-0.008027540919774534
172.41,-0.007410022980312403,-0.001438835761869317,-0.007676289260806434
172.444,-0.007418976149574763,-0.0013830575156739133,-0.007433343907842004
172.478,-0.0074290202204030376,-0.0013278850076356985,-0.007453699919838463
172.512,-0.007414400299044499,-0.001269406508050741,-0.007193452144958811
172.546,-0.0074203885419504845,-0.0012159439532850591,-0.006889886445359482
172.58,-0.00744918496925262,-0.001169551432797622,-0.006615173940008211
172.614,-0.007481157272315797,-0.0011180087941820016,-0.009772951176151954
172.648,-0.007269719599954982,-0.0009875578200524426,-0.01614483291785262
172.682,-0.007025484194600695,-0.0008487507568273323,-0.011428203773585997
172.716,-0.007027436399323128,-0.0007890697303274408,-0.006130933610130729
172.75,-0.006988839790988188,-0.0007449661114584671,-0.005518151291774576
172.784,-0.007039776413775178,-0.0007094429186944584,-0.0060433790158129766
172.818,-0.007205550475330336,-0.0006829176207983068,-0.005785344254773061
172.852,-0.0074915185218004665,-0.0006586681051128362,-0.008168340520064987
172.886,-0.0075327008776509,-0.0005978402981896558,-0.00856059825321198
172.92,-0.00753096212445914,-0.0005354183327175299,-0.00771029846532567
172.954,-0.007534950089012671,-0.0004782410328099118,-0.007587639225613783
172.988,-0.007538901703206813,-0.00042106789194651384,-0.007602260497570068
173.022,-0.007533687794446464,-0.000366636375872309,-0.006696423769172011
173.056,-0.007523231518118845,-0.00031551771639848347,-0.006806624983866527
173.09,-0.0075360414568032,-0.00026484973280527235,-0.006649940512293728
173.124,-0.007529121742553768,-0.0002168723676603257,-0.005945583767620111
173.158,-0.007521205324159119,-0.0001725947286879137,-0.0058301461036274205
173.192,-0.007482857795540976,-0.00012957803582414051,-0.005419420459103374
173.226,-0.007107624484105235,-7.733249783759e-05,-0.008214330162322536
