Time,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw,wheelRight_velocity,wheelLeft_velocity,kinematic_delta_x,kinematic_delta_y,kinematic_delta_yaw
90.738,0.12661009203344878,-1.0420055866136175,0.5010798385524878,-2.7082802538924597,0.04324964510435937,0.20997053896253817,0.0010531578026314662,-0.004082243242173595,-0.034698786034233466
90.772,0.13043877008923954,-1.0736846884011504,0.11497531699071359,-0.9513243780039897,0.0445439950171475,0.21633354516133158,0.0009362091697430015,-0.004241280411891314,-0.03575370012375831
90.805,0.126603773827945,-1.0420866187537985,-0.11516505289172818,0.9488909804009579,0.043236844327641126,0.20997070332824888,0.0007631351753691615,-0.004146046524651534,-0.03470148440450149
90.838,0.10974814185705217,-0.8561015876943426,-0.5061751342610457,5.5851360678515265,0.04126001484150476,0.17823626887259958,0.0005476417096034607,-0.003613223090337484,-0.028508182870221613
90.872,0.11300711631400796,-0.8815300087879685,0.09786710080948319,-0.7636162490578337,0.04248471561097047,0.18352951701704542,0.00045604163615164186,-0.003735265589919412,-0.029354949292639355
90.905,0.10970461050883637,-0.8557883664526145,-0.09917434850365144,0.7730222923529738,0.04124154119262721,0.17816767982504553,0.00033765441930347796,-0.0036374015596293803,-0.028497752602872066
90.938,0.13204617502319574,-1.0019649092472074,0.6709178532840651,-4.389685969807594,0.05188898228341914,0.2122033677629723,0.0002708185733757609,-0.004388585532753451,-0.03336543147793201
90.972,0.13012100748868108,-0.940103699206952,-0.05781283887431411,1.8576939952028633,0.05491271155212492,0.20532930342523725,0.00012691781711150296,-0.004330993378070335,-0.03130545318359151
91.005,0.12631235684023476,-0.9126035660698959,-0.11437389334673637,0.8258298239356193,0.05330407155464309,0.19932064212582645,-6.525284946322519e-06,-0.004206034565904639,-0.030389698750127536
91.038,0.11342615822332167,-0.8721815285296473,-0.38697293143883155,1.2138750012086679,0.043651635940949875,0.18320068050569346,-0.00011807899471864985,-0.0037751121137874185,-0.029043644900037257
91.072,0.11688544733843542,-0.8989723997148387,0.1038825560094221,-0.8045306662219642,0.04496765536124833,0.1888032393156225,-0.0002363323763567523,-0.0038849583352216365,-0.02993578091050413
91.104,0.11346985865737588,-0.872718136176389,-0.10257023066244862,0.7884163224759644,0.04365240776326476,0.183287309551487,-0.00034056331577574653,-0.0037630338676022937,-0.02906151393467376
91.137,0.10932120897825774,-0.9142375437930395,-0.12458407444799222,-1.246829057557069,0.03618220547481457,0.1824602124817009,-0.00043581648353323884,-0.0036140732373129585,-0.030444110208308218
91.172,0.11262022316789673,-0.9417699792143784,0.09906949518435398,-0.8267998625026721,0.03727862483074645,0.18796182150504698,-0.0005637885352870166,-0.0037074776628830144,-0.03136094030783881
