,Time,delta_position_x,delta_position_y,delta_yaw,linear_velocity_x,angular_velocity_yaw,linear_acceleration_x,angular_acceleration_yaw
3659,124.765,-3.518181124206876e-08,5.428633900045333e-08,-3.2453850725033824e-05,-1.1025822569622583e-05,-0.0008402750020454,-1.1759485405144545e-05,-0.000794482533568
3660,124.799,-3.4176646401817834e-08,5.298655060548275e-08,-3.245029290210866e-05,-1.0732480575370168e-05,-0.0008147707610816,8.889151340981982e-06,0.0007728557867792
3661,124.833,-3.3191803971988065e-08,5.171261259484528e-08,-3.2446706723643366e-05,-1.0773093744457868e-05,-0.0008147262770624,-1.194504973167435e-06,1.308353505773092e-06
3662,124.867,-3.222682476433647e-08,5.0463937903422185e-08,-3.2443092723433153e-05,-1.0812945561155674e-05,-0.0008146793497587,-1.2076308090244305e-06,1.4220395078591067e-06
3663,124.901,-3.128125181106611e-08,4.923995249733749e-08,-3.243945144459914e-05,-1.2348223376963264e-05,-0.0009269936355815,-5.294061433819934e-05,-0.0038729064076834
3664,124.935,-3.035465345746502e-08,4.804010469983133e-08,-3.243578353107068e-05,-9.493713959657435e-06,-0.0007101459004296,7.31925491616851e-05,0.0055601983372272
3665,124.969,-2.9445768934266425e-08,4.6863660299600873e-08,-3.243208813996645e-05,-1.1269001902293315e-05,-0.0008399791055381,-5.5477748207377407e-05,-0.0040572876596392
3666,125.003,-2.8554886011278316e-08,4.5709763203671816e-08,-3.242837227634965e-05,-1.0963958061438048e-05,-0.0008144699499723,9.243752753189616e-06,0.0007730047141143
3667,125.037,-2.768210061177001e-08,4.4578290996077914e-08,-3.242463128305673e-05,-1.0685982181258755e-05,-0.0007911428085907,7.94216800512342e-06,0.0006664897537601
3668,125.071,-2.6826695975756823e-08,4.3468935402579685e-08,-3.242086654386967e-05,-1.1747922081159309e-05,-0.0008668901340079,-3.425612580323713e-05,-0.0024434621102339
3669,125.105,-2.5988240448526767e-08,4.2381173098737797e-08,-3.2417078140944966e-05,-1.0437808828914035e-05,-0.0007677589549867,3.743180720701146e-05,0.0028323194006059
3670,125.139,-2.5166357886519112e-08,4.13145255021008e-08,-3.241326705438752e-05,-1.1441272647516165e-05,-0.000838898780131,-3.040799450309367e-05,-0.002155752277099
3671,125.173,-2.4360603756434784e-08,4.026850909666369e-08,-3.240943315407918e-05,-1.113850228762161e-05,-0.0008141587766629,9.174859390743727e-06,0.0007496970747903
3672,125.207,-2.3570729812405492e-08,3.9242697605357264e-08,-3.240557796679866e-05,-1.1171134815412674e-05,-0.0008140913408282,-9.88864478517048e-07,2.0435101422436585e-06
3673,125.241,-2.2796399434810155e-08,3.82365398995943e-08,-3.240170073937065e-05,-1.0883560329539013e-05,-0.0007907632338191,8.216413882105455e-06,0.0006665173431194
3674,125.275,-2.203720406157572e-08,3.7249648095205596e-08,-3.239780230090972e-05,-1.1586724662394796e-05,-0.000839384635798,-2.197388540174574e-05,-0.0015194188118404
3675,125.309,-2.129280529672428e-08,3.628159170321332e-08,-3.2393883146575326e-05,-1.0935151659153383e-05,-0.0007899382487109,1.916391186003819e-05,0.0014543055025588
3676,125.343,-2.0562869629259243e-08,3.533194879723478e-08,-3.2389943763977413e-05,-1.1639681844143992e-05,-0.000838460511332,-2.1349399545169195e-05,-0.001470371594577
3677,125.377,-1.9847068877254518e-08,3.4400306103687945e-08,-3.238598460297837e-05,-1.099444615537293e-05,-0.0007897892824132,1.8977520257977e-05,0.0014315067329072
3678,125.411,-1.9142376128655773e-08,3.34819062960956e-08,-3.238194369581394e-05,-1.1356906355785692e-05,-0.0008136441469019,-1.0983642436749936e-05,-0.0007228746814774
3679,125.445,-1.843479191521169e-08,3.255569600013608e-08,-3.237752482299072e-05,-1.1731126221547594e-05,-0.0008382170690879,-1.133999593217842e-05,-0.0007446340056344
3680,125.479,-1.7742212143900815e-08,3.1648328700784045e-08,-3.237311055670489e-05,-1.1414761189598287e-05,-0.0008134816159354,9.586819149978586e-06,0.0007495591864363
3681,125.513,-1.7062950607993344e-08,3.075802590402077e-08,-3.2368681496031115e-05,-1.1442497338975522e-05,-0.0008133992118075,-8.404893750676419e-07,2.4970947868385107e-06
3682,125.547,-1.6396824786824027e-08,2.988456089536573e-08,-3.236424040187203e-05,-1.147015597984174e-05,-0.0008133139308068,-8.134894372415833e-07,2.5082647257450917e-06
3683,125.581,-1.5743723658090403e-08,2.90278044032255e-08,-3.2359791185765374e-05,-1.1159171449170424e-05,-0.0007893086199073,9.14660384327624e-06,0.0007060385558686
3684,125.615,-1.510334968202187e-08,2.81873751978301e-08,-3.2355334079081643e-05,-1.2267085832803972e-05,-0.0008656006112656,-3.57391736655915e-05,-0.0024610319793
3685,125.649,-1.4475386223011812e-08,2.7362860602342387e-08,-3.235086871455906e-05,-1.1219861352987265e-05,-0.0007898200389483,2.99206994233374e-05,0.0021651592090661
3686,125.683,-1.3859537073557249e-08,2.6553891800673582e-08,-3.234639524984927e-05,-1.1575633976689932e-05,-0.000812958633034,-1.0780988597050124e-05,-0.0007011695177493
3687,125.717,-1.3255536224221489e-08,2.5760119599926856e-08,-3.234191398560071e-05,-1.1600588067039569e-05,-0.0008128671669993,-7.561845560495605e-07,2.77169802260844e-06
3688,125.751,-1.2663107451515998e-08,2.498119589661174e-08,-3.233742510699855e-05,-1.1293329256595626e-05,-0.0007895508187517,8.77882315554207e-06,0.0006661813785028
3689,125.785,-1.2081990963253021e-08,2.4216782204544707e-08,-3.2332928830314245e-05,-1.201402047446142e-05,-0.0008380734194958,-2.252160055830858e-05,-0.0015163312732525
3690,125.819,-1.151192430270953e-08,2.3466540294281305e-08,-3.232842522660207e-05,-1.1330315594609468e-05,-0.000788682245535,2.010896705446569e-05,0.0014526815870815
3691,125.853,-1.0952657003571176e-08,2.2730154501660053e-08,-3.2323914451293234e-05,-1.205177488827712e-05,-0.0008371041012366,-2.186240283841292e-05,-0.0014673289606564
3692,125.887,-1.0403936823166761e-08,2.2007310397642588e-08,-3.231939687076136e-05,-1.1375844181318836e-05,-0.0007884901447373,1.9880314910542548e-05,0.0014298222499811
3693,125.921,-9.865521288787704e-09,2.129769320624586e-08,-3.231487262844723e-05,-1.21100652252752e-05,-0.0008376683121477,-2.2944407623628677e-05,-0.0015368177315752
3694,125.955,-9.337175477242e-09,2.0600999094122496e-08,-3.231034186645943e-05,-1.2156067211500873e-05,-0.0008374564947178,-2.2707623507733933e-05,-0.0015149805728676
3695,125.989,-8.818671570764991e-09,1.9916933602370793e-08,-3.2305804769983126e-05,-1.1461806068647898e-05,-0.0007880944574579,2.041944537802501e-05,0.0014518246252904
3696,126.023,-8.309780419324397e-09,1.924520830198784e-08,-3.2301261490896856e-05,-1.183053631969111e-05,-0.000811870481933,-1.0845007383626503e-05,-0.0006992948375018
3697,126.057,-7.810283531028972e-09,1.8585540897952946e-08,-3.229671220328356e-05,-1.2221955429044056e-05,-0.0008371313506058,-1.2231847167275474e-05,-0.0007894021460254
3698,126.091,-7.319965966701147e-09,1.7937656103528266e-08,-3.2292157062574496e-05,-1.152282580693452e-05,-0.0007877852174521,2.056263594440306e-05,0.0014513568574621
3699,126.125,-6.838619892590714e-09,1.7301298498029194e-08,-3.228759637829981e-05,-1.1892390444958844e-05,-0.0008115485797101,-1.0869548177184073e-05,-0.0006989224193532
3700,126.159,-6.366036142679832e-09,1.6676188797914993e-08,-3.228303023172785e-05,-1.1912455136097835e-05,-0.000811438616921,-6.080209436058247e-07,3.332205729936578e-06
3701,126.193,-5.9020157650024885e-09,1.6062061604371625e-08,-3.227845857090017e-05,-1.1931909341460734e-05,-0.0008113292857106,-5.895213746334759e-07,3.3130669818824127e-06
3702,126.227,-5.4463646925739795e-09,1.5458678094548706e-08,-3.227388164539491e-05,-1.2313511348338114e-05,-0.0008357996410523,-1.1563697178101966e-05,-0.0007415259194448
3703,126.261,-4.99888841432039e-09,1.4865792402618538e-08,-3.226929959243563e-05,-1.197048729295557e-05,-0.0008111043324987,1.0394668344925163e-05,0.0007483426834437
3704,126.295,-4.559406185933312e-09,1.4283166399620129e-08,-3.22647125532427e-05,-1.1989049028215503e-05,-0.0008109921118659,-5.624768260586104e-07,3.400625235953916e-06
3705,126.329,-4.127728825409349e-09,1.3710565800739705e-08,-3.226012067836236e-05,-1.2007603214166184e-05,-0.0008108772570734,-5.457113514904536e-07,3.3780821310696117e-06
